 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,574.121,135.255,84,158,160.556,42.205,1141,42,171.416,25.354
2,577.841,129.070,68,158,185.865,44.158,533,85,140.064,29.401
3,3739.847,119.163,50,158,592.656,95.435,1835,279,86.689,78.226
4,465.001,138.663,99,158,151.378,41.314,332,233,82.333,21.888
5,344.721,133.779,103,158,108.331,27.828,415,241,115.115,23.221
6,659.061,134.804,76,158,217.045,56.276,800,313,72.072,24.980
7,1667.183,112.672,17,158,241.095,65.055,1322,281,128.118,47.241
8,705.561,133.917,91,158,178.993,49.425,779,354,22.479,27.877
9,2293.385,117.248,25,158,411.865,105.700,1022,402,28.474,46.663
10,866.762,128.303,74,158,240.080,65.198,892,410,52.853,33.434
11,378.821,138.339,105,158,153.875,35.081,1301,361,9.039,24.680
12,3686.527,102.240,8,158,404.531,101.553,1680,490,48.772,60.491
13,465.001,143.501,103,158,262.971,50.914,1318,474,50.648,23.733
14,487.321,137.962,100,158,172.694,48.031,1492,451,10.389,24.372
15,1603.323,134.999,78,158,552.140,115.093,1440,440,92.745,47.810
16,409.201,134.976,94,158,144.044,34.186,843,478,128.454,22.503
17,2468.225,125.927,67,158,581.824,105.265,1319,490,128.928,56.192
18,1473.743,109.436,36,158,189.746,59.599,1156,515,164.678,40.836
19,345.961,136.824,97,158,133.752,35.529,512,536,77.196,22.160
20,340.381,132.390,82,158,115.935,32.883,1487,498,106.699,21.158
21,2978.486,120.288,57,158,499.150,92.049,1799,526,169.651,68.750
22,1184.202,123.485,73,158,206.720,50.079,968,529,143.310,39.402
23,2272.925,114.089,35,158,420.121,79.309,1546,547,150.890,61.585
24,863.662,123.664,75,158,251.881,60.158,753,635,142.980,32.717
25,1485.523,136.163,76,158,512.005,77.506,1273,639,110.829,47.744
26,1262.943,138.730,90,158,456.822,84.809,1322,643,167.125,54.601
27,492.281,139.219,91,158,163.515,44.017,1025,643,116.565,25.944
28,4963.110,101.292,10,158,541.195,129.503,1950,669,107.333,75.350
29,380.061,131.256,90,158,121.121,39.157,1111,686,15.154,18.809
30,9513.919,111.825,16,158,1477.011,214.134,1662,677,129.779,137.527
31,3222.766,120.674,37,158,545.775,119.524,1439,698,101.014,61.528
32,1721.123,105.774,34,158,307.335,81.297,1273,756,111.595,45.078
33,582.801,140.546,97,158,197.304,43.756,938,788,149.744,25.330
34,1045.322,125.335,65,158,236.021,52.526,1489,817,167.005,39.370
35,380.061,126.104,83,158,129.759,40.434,1671,834,96.710,18.317
36,2494.265,129.629,65,158,637.165,92.532,1270,880,5.371,60.127
37,346.581,133.361,90,158,115.395,29.983,1175,852,119.932,22.096
38,1245.582,123.880,65,158,266.199,65.102,1722,861,147.848,36.741
39,370.761,133.853,94,158,120.851,31.741,906,867,156.615,19.487
40,7418.315,114.752,29,158,1242.960,243.367,2004,881,105.385,101.714
41,407.961,133.733,94,158,108.984,33.638,866,928,69.444,22.828
42,398.041,132.606,88,158,92.201,30.179,1131,904,172.504,21.584
43,13651.807,110.467,8,158,1665.723,230.327,1730,915,128.476,154.854
44,504.681,121.544,70,158,115.013,33.425,1891,927,164.982,23.635
45,840.102,127.737,83,158,216.392,60.466,509,967,8.236,26.051
46,585.281,134.641,88,158,148.307,42.293,1251,1031,28.951,24.979
47,806.002,140.888,94,158,273.915,52.544,1317,1051,29.638,40.060
48,1827.144,139.527,77,158,606.322,101.340,1526,1051,122.949,58.715
49,418.501,144.761,113,158,220.959,41.858,1605,1181,73.610,28.513
50,498.481,140.376,103,158,183.829,40.884,1683,1186,15.642,28.182
51,1247.442,125.325,72,158,302.947,70.083,591,1171,117.429,35.273
52,1793.044,132.350,65,158,500.376,105.503,1579,1180,99.884,51.153
53,459.421,145.935,117,158,163.515,49.312,1520,1230,38.517,23.850
54,420.361,133.158,93,158,116.778,32.052,212,1191,117.824,23.188
55,370.141,143.536,115,158,127.262,30.138,1293,1195,109.855,21.260
56,539.401,135.674,100,158,147.655,41.792,1952,1218,132.709,21.754
57,531.961,131.707,79,158,107.027,32.465,389,1215,104.036,27.071
58,1647.343,133.711,93,158,302.644,83.212,1464,1327,60.524,41.013
59,738.421,134.988,86,158,188.554,42.614,556,1304,163.909,32.293
60,397.421,145.507,122,158,165.011,36.066,1711,1287,126.119,25.502
61,964.102,106.773,41,158,163.133,47.408,1902,1307,101.497,31.848
62,589.001,140.742,97,158,153.605,41.858,1626,1319,106.390,25.311
63,2330.585,112.371,30,158,416.892,78.496,932,1324,103.339,67.994
64,689.441,131.926,87,158,205.448,49.110,1069,1425,41.100,34.493
65,622.481,130.192,85,158,161.176,45.839,326,1402,175.073,27.150
66,652.241,130.265,66,158,181.299,40.587,1310,1447,71.917,35.368
67,460.041,139.191,97,158,140.242,36.255,1661,1440,34.380,24.336
68,2038.564,115.084,50,158,395.003,78.523,1609,1463,158.839,57.195
69,359.601,139.455,98,158,123.269,38.518,964,1505,49.145,17.908
70,546.841,118.625,64,158,122.807,32.883,433,1515,73.301,28.015
71,2934.466,88.363,20,158,276.268,77.538,1913,1478,124.658,61.628
72,372.621,139.394,104,158,125.226,38.974,1228,1489,98.130,19.631
73,2134.044,132.612,76,158,507.327,95.367,1503,1498,108.285,64.203
74,602.641,132.872,87,158,169.623,45.866,1358,1517,101.889,23.717
75,445.161,120.489,67,158,120.851,37.108,237,1574,162.719,22.719
76,1399.963,134.813,70,158,445.495,89.258,330,1574,94.554,52.314
77,6351.293,122.991,42,158,1027.411,176.422,1764,1578,116.794,96.212
78,942.402,115.940,51,158,229.103,50.719,250,1592,117.759,40.851
79,378.201,129.130,80,158,119.737,34.394,33,1607,164.055,17.431
80,642.941,144.016,108,158,344.083,59.848,1532,1677,57.355,33.723
81,666.501,136.743,89,158,174.459,41.606,1287,1665,60.524,32.537
82,443.921,141.799,104,158,159.522,39.094,1439,1646,152.403,25.852
83,1994.544,129.484,69,158,549.913,96.568,1388,1645,122.005,66.837
84,1102.362,136.252,67,158,339.470,68.576,100,1682,164.687,35.205
85,511.501,141.126,105,158,219.081,41.382,1027,1766,68.806,36.243
86,597.061,128.679,76,158,156.643,46.216,1176,1772,66.930,23.945
87,1093.062,136.040,90,158,261.903,59.702,1445,1798,48.743,46.277
88,713.621,128.989,82,158,185.753,49.450,1662,1830,80.838,26.783
89,1915.184,132.105,73,158,452.717,107.370,616,1877,39.644,44.986
90,2495.505,127.852,52,158,608.707,103.249,1844,1871,28.715,63.036
91,474.921,131.530,82,158,152.953,47.251,1576,1861,66.425,20.930
92,2685.225,127.058,71,158,566.550,94.610,1681,1920,67.490,68.317
