 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1897.026,133.473,70,164,330.276,84.437,506,118,131.987,51.884
2,4939.514,132.707,29,164,694.889,143.234,421,212,48.909,118.925
3,345.057,149.689,124,164,101.437,34.261,626,196,28.443,19.527
4,704.294,153.964,131,164,226.990,62.962,558,244,66.501,27.557
5,1834.002,139.116,98,164,317.545,83.800,591,209,106.535,46.088
6,1750.495,116.198,35,164,228.839,76.353,410,241,9.462,44.613
7,680.660,143.600,103,164,177.716,50.115,518,261,22.068,28.416
8,463.227,127.282,81,164,89.872,35.503,2067,271,45.000,21.422
9,11237.198,145.779,82,164,1610.329,205.248,671,258,107.438,150.525
10,551.461,145.917,111,164,137.066,39.634,637,284,100.954,23.623
11,20763.292,129.894,48,164,1743.436,289.588,720,479,29.899,159.733
12,2245.234,143.802,98,164,300.277,80.060,2130,413,138.814,54.597
13,69243.010,132.409,20,164,5887.971,610.331,1002,927,82.437,446.361
14,360.813,151.507,128,164,120.785,35.012,775,514,165.466,17.573
15,1280.965,127.026,70,164,246.591,67.281,318,515,104.036,37.331
16,420.686,154.989,131,164,197.548,45.966,894,573,55.008,27.515
17,833.494,133.140,86,164,148.148,55.741,320,637,54.162,25.467
18,641.270,123.791,79,164,104.504,35.548,348,680,42.138,30.000
19,669.631,144.753,95,164,170.007,65.103,312,703,56.004,17.468
20,23044.765,127.389,15,164,2098.312,293.179,1118,674,96.638,168.311
21,2057.737,137.864,74,164,365.527,93.908,800,736,98.455,41.414
22,2802.997,145.568,111,164,560.817,112.053,826,797,167.053,82.640
23,923.303,155.643,136,164,176.550,53.989,1042,771,125.538,31.953
24,2260.990,130.518,82,164,237.411,70.662,808,851,12.308,56.697
25,556.188,138.635,106,164,123.169,35.348,749,854,163.496,26.474
26,620.787,152.797,126,164,199.932,45.691,971,881,20.925,33.891
27,1052.503,135.304,93,164,182.307,51.219,830,910,72.897,39.625
28,461.652,134.891,84,164,96.111,30.230,705,965,41.634,22.977
29,530.978,133.742,98,164,100.523,32.002,889,1000,115.560,26.360
30,723.202,147.684,110,164,204.344,46.291,234,1135,12.529,34.964
31,625.514,158.234,135,164,218.545,45.966,1694,1186,145.008,29.594
32,2311.409,118.873,73,164,278.670,83.121,1516,1256,14.876,45.188
33,726.353,152.176,127,164,242.053,47.050,1544,1311,80.789,33.879
34,570.368,124.704,84,163,98.748,36.596,1518,1283,95.906,21.798
35,420.686,128.734,87,164,86.195,28.624,576,1313,74.745,22.264
36,1444.828,141.518,97,164,294.520,71.559,1782,1332,21.615,43.019
37,608.183,156.148,126,164,274.006,50.162,1791,1363,58.299,34.888
38,885.489,121.890,71,164,147.412,49.323,1579,1365,165.256,32.960
39,543.583,129.217,90,164,101.563,34.967,1592,1403,158.962,24.220
40,657.026,125.360,88,164,108.485,36.206,1590,1427,146.310,29.114
41,5473.644,145.217,87,164,924.873,163.165,1442,1702,72.541,81.763
42,20438.718,93.523,5,164,1237.923,249.450,1437,1935,43.981,170.651
43,508.920,116.090,58,164,91.521,32.002,1540,2034,78.690,23.849
44,1372.350,155.481,108,164,378.079,73.557,1463,2113,64.747,45.483
