 ,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,32505.997,107.647,4,157,3013.926,401.227,386,733,179.103,249.281
2,353.172,142.454,112,157,118.274,34.436,876,625,136.848,20.854
3,393.851,119.973,86,157,95.799,28.952,322,683,77.471,21.068
4,702.646,149.082,127,157,343.214,54.737,330,716,8.246,33.940
5,7448.046,79.685,9,157,495.539,135.992,558,751,142.270,95.872
6,503.563,130.476,82,157,122.985,32.673,453,793,125.218,27.116
7,1049.654,141.460,109,157,311.936,54.686,449,829,129.174,39.988
8,33308.493,98.481,22,157,2030.726,336.530,1686,1252,61.582,179.163
9,342.694,147.171,127,157,111.803,33.132,1306,980,103.707,18.538
10,5365.995,124.260,65,157,676.258,155.478,1435,1167,56.952,80.694
11,6148.151,123.913,62,157,776.643,156.486,1296,1236,73.383,90.940
12,612.658,132.524,98,157,121.415,37.298,1584,1159,49.268,26.303
13,521.437,147.377,125,157,203.733,47.522,1492,1160,97.595,23.536
14,3795.520,144.089,106,157,924.579,134.086,1377,1174,107.374,81.373
15,1010.824,138.252,84,157,289.080,76.230,1298,1237,122.381,37.370
16,433.915,139.001,111,157,138.338,37.977,1315,1375,82.875,24.226
17,8556.870,121.031,40,157,835.849,216.490,1234,1337,124.958,104.353
18,791.401,119.882,83,157,125.015,35.598,1457,1559,41.424,32.188
