file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-01-1-results.csv,1,35213.867,84.467,0,131,3216.023,452.834,76,351,41.535,226.951,100Si,01
data-raw/TEM Images 2021-12-01/image-j/100Si-01-1-results.csv,2,444.387,107.857,70,131,144.043,44.14,224,201,31.43,24.767,100Si,01
data-raw/TEM Images 2021-12-01/image-j/100Si-01-1-results.csv,3,966.488,110.129,65,131,316.706,86.627,434,273,127.147,30.497,100Si,01
data-raw/TEM Images 2021-12-01/image-j/100Si-01-1-results.csv,4,1112.063,107.975,48,131,304.002,71.854,363,328,42.049,54.385,100Si,01
data-raw/TEM Images 2021-12-01/image-j/100Si-02-1-results.csv,1,2508.885,106.836,18,150,474.818,88.228,1385,429,63.556,57.279,100Si,02
data-raw/TEM Images 2021-12-01/image-j/100Si-02-1-results.csv,2,12191.879,108.065,0,150,2556.425,239.65,86,293,139.811,194.309,100Si,02
data-raw/TEM Images 2021-12-01/image-j/100Si-02-1-results.csv,3,5105.47,122.538,51,150,1235.87,157.267,1063,500,177.868,95.305,100Si,02
data-raw/TEM Images 2021-12-01/image-j/100Si-02-1-results.csv,4,708.239,125.078,66,150,197.688,41.781,429,422,19.885,31.475,100Si,02
data-raw/TEM Images 2021-12-01/image-j/100Si-02-1-results.csv,5,586.996,129.39,75,150,211.933,41.066,1613,696,94.086,28.558,100Si,02
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,1,10123.902,102.365,21,143,1570.922,244.677,1649,127,9.25,140.347,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,2,414.584,124.025,82,143,148.241,40.456,296,230,63.435,23.33,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,3,2272.788,97.269,18,143,465.779,86.661,967,321,81.649,55.844,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,4,13578.565,99.824,0,143,2041.658,237.798,277,244,139.83,189.424,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,5,4084.584,115.254,40,143,641.766,143.473,792,361,11.064,88.828,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-03-1-results.csv,6,916.417,104.862,37,143,208.9,77.154,139,672,159.717,25.387,100Si,03
data-raw/TEM Images 2021-12-01/image-j/100Si-04-1-results.csv,1,5106.527,105.343,0,150,1113.484,162.777,663,725,49.383,100.682,100Si,04
data-raw/TEM Images 2021-12-01/image-j/100Si-04b-1-results.csv,1,42783.775,92.826,2,139,6380.382,487.241,243,1015,85.073,362.288,100Si,04b
data-raw/TEM Images 2021-12-01/image-j/100Si-04b-1-results.csv,2,2243.554,106.854,43,139,543.963,93.318,340,231,19.654,58.065,100Si,04b
data-raw/TEM Images 2021-12-01/image-j/100Si-04b-1-results.csv,3,557.4,116.717,71,139,154.781,40.748,275,435,131.878,25.547,100Si,04b
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,1,7497.403,126.847,66,155,1411.117,148.023,1552,232,69.73,118.919,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,2,45021.766,102.722,1,155,5048.341,480.718,209,271,94.99,352.172,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,3,2488.553,120.179,61,155,470.313,96.324,251,369,19.622,60.603,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,4,1084.929,124.028,70,155,239.213,61.665,60,396,163.652,36.744,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,5,593.817,133.538,84,155,141.635,41.033,206,505,127.972,24.859,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-05-1-results.csv,6,428.245,140.744,109,155,176.956,43.097,150,846,113.749,25.562,100Si,05
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,1,1735.665,112.155,31,151,341.412,69.879,374,165,55.359,42.962,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,2,7792.738,115.564,26,151,1821.319,231.466,1245,103,103.848,100.403,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,3,369.041,124.55,76,151,119.907,31.515,1108,164,174.289,22.43,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,4,9271.085,108.613,0,151,1917.193,250.17,40,408,29.403,141.946,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,5,6838.313,118.074,47,151,1391.591,194.864,970,169,127.7,96.678,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,6,890.778,124.228,67,151,296.569,71.082,438,345,58.53,31.288,100Si,06
data-raw/TEM Images 2021-12-01/image-j/100Si-06-1-results.csv,7,468.744,119.589,66,151,177.105,48.637,1399,467,171.347,20.709,100Si,06
