date,sample,value,mode,param
2021-08-19,QC 75ppb,99.9,KED,31P
2021-08-19,QC 75ppb,102.9,KED,57Fe
2021-08-19,QC ext 40ppb,93.3,KED,57Fe
2021-08-24,QC 75ppb,98.6,KED,31P
2021-08-24,QC 75ppb,97.6,KED,57Fe
2021-08-24,QC ext 40ppb,99.4,KED,57Fe
2021-10-28,QC 75ppb,97.9,KED,31P
2021-10-28,QC 75ppb,98.2,KED,57Fe
2021-10-28,QC ext 40ppb,95,KED,57Fe
2021-11-04,QC 75ppb,95.9,KED,31P
2021-11-04,QC 75ppb,100.3,KED,57Fe
2021-11-04,QC ext 40ppb,98.7,KED,57Fe
2021-12-01,QC 75ppb,98,KED,31P
2021-12-01,QC 75ppb,98.9,KED,57Fe
2021-12-01,QC ext 40ppb,96.1,KED,57Fe
2022-04-21,QC 75ppb,267.6,KED,31P
2022-04-21,QC 75ppb,81.8,KED,57Fe
2022-04-21,QC ext 40ppb,79.6,KED,57Fe
2022-06-01,QC 75ppb,106.8,KED,31P
